"vrq","attain","pid","sex","sc","sid","fed","choice","med","cons","pupil"
76,2,1,"Female",0,1,0,4,0,1,39
101,8,1,"Male",31,1,0,4,0,1,37
103,6,1,"Female",0,1,0,2,1,1,48
83,6,1,"Female",0,1,0,1,0,1,41
83,4,1,"Female",0,1,0,2,0,1,7
71,2,1,"Female",0,1,0,1,0,1,50
101,9,1,"Female",20,1,0,1,1,1,17
89,6,1,"Male",0,1,0,1,1,1,8
112,10,5,"Female",31,1,0,1,0,1,46
84,2,5,"Female",0,1,0,1,0,1,44
106,6,5,"Female",0,1,0,1,0,1,45
77,3,5,"Male",0,1,1,1,1,1,47
116,9,5,"Male",20,1,0,1,0,1,42
74,2,5,"Male",0,1,1,1,1,1,43
90,2,5,"Male",0,1,1,1,1,1,17
102,10,5,"Female",0,1,0,1,1,1,18
107,3,5,"Female",0,1,0,1,0,1,53
83,2,5,"Male",0,1,0,1,0,1,16
96,2,5,"Male",0,1,0,1,0,1,14
96,4,5,"Female",0,1,0,1,0,1,15
93,7,5,"Female",1,1,1,1,0,1,19
100,9,5,"Male",0,1,0,1,0,1,34
81,6,5,"Female",0,1,0,4,0,1,32
89,2,5,"Female",0,1,0,1,0,1,33
70,2,5,"Male",0,1,0,1,0,1,40
75,2,5,"Male",0,1,1,1,0,1,4
88,3,5,"Male",0,1,0,1,1,1,31
111,8,5,"Female",0,1,0,1,0,1,41
84,1,5,"Male",0,1,0,1,0,1,51
96,5,5,"Female",0,1,0,1,0,1,52
84,3,5,"Male",0,1,0,1,0,1,5
107,9,5,"Male",20,1,0,1,1,1,50
81,3,5,"Male",0,1,0,1,0,1,48
81,2,5,"Female",0,1,1,1,1,1,49
91,3,5,"Male",0,1,0,1,0,1,39
108,5,5,"Male",31,1,0,1,0,1,24
102,7,5,"Female",0,1,0,1,0,1,8
92,3,5,"Female",0,1,0,1,0,1,38
101,10,5,"Female",31,1,1,1,0,1,26
92,2,5,"Male",0,1,0,1,0,1,23
96,7,5,"Female",31,1,0,1,0,1,25
100,4,5,"Male",20,1,0,1,0,1,21
81,1,5,"Male",0,1,0,4,0,1,1
75,3,5,"Male",0,1,1,1,0,1,37
96,3,5,"Male",0,1,0,1,0,1,35
85,2,5,"Female",0,1,0,1,0,1,2
81,1,5,"Male",0,1,0,1,0,1,3
101,10,5,"Male",0,1,0,1,0,1,36
83,2,5,"Female",0,1,0,1,0,1,10
106,9,5,"Female",0,1,1,1,1,1,12
90,4,5,"Female",0,1,0,1,0,1,6
93,5,5,"Female",0,1,0,1,0,1,29
80,2,5,"Female",0,1,0,1,0,1,9
106,8,5,"Female",0,1,0,1,0,1,11
104,6,5,"Male",0,1,0,1,0,1,13
84,2,5,"Female",0,1,1,1,1,1,22
112,5,5,"Male",0,1,0,1,0,1,7
93,7,5,"Female",0,1,0,1,0,1,20
70,1,5,"Female",0,1,0,1,1,1,28
101,9,5,"Male",0,1,0,1,0,1,30
120,10,5,"Female",20,1,0,1,0,1,27
114,9,6,"Male",1,1,0,1,0,1,47
95,5,8,"Male",0,1,0,1,1,1,6
91,2,9,"Male",0,1,0,2,0,1,33
101,8,11,"Female",0,1,0,1,1,1,12
86,2,11,"Male",0,1,0,1,0,1,11
96,5,11,"Male",0,1,1,1,0,1,13
104,8,11,"Female",20,1,0,1,1,1,10
110,7,11,"Female",20,1,0,1,0,1,9
81,2,11,"Male",0,1,0,1,0,1,14
103,1,11,"Male",0,1,0,1,0,1,7
110,10,11,"Male",0,1,0,1,0,1,8
129,10,11,"Male",0,1,0,1,0,1,6
70,2,11,"Female",0,1,0,1,0,1,4
70,3,11,"Female",0,1,0,1,0,1,5
88,4,11,"Female",0,1,0,1,0,1,3
72,2,11,"Male",31,1,1,1,1,1,2
114,9,11,"Male",0,1,0,1,0,1,1
80,3,21,"Male",0,1,0,1,0,1,32
80,4,21,"Male",0,1,0,1,0,1,24
75,2,21,"Female",0,1,1,1,1,1,29
90,2,21,"Male",0,1,1,1,1,1,31
107,7,21,"Male",0,1,1,1,0,1,27
106,6,21,"Female",0,1,0,1,0,1,25
82,2,21,"Male",0,1,0,1,0,1,28
89,4,21,"Male",0,1,1,1,1,1,26
109,6,21,"Female",0,1,0,1,0,1,21
94,8,21,"Male",0,1,0,1,0,1,23
84,2,21,"Female",0,1,0,2,0,1,15
78,3,21,"Female",0,1,0,1,0,1,22
98,4,21,"Female",0,1,0,1,0,1,19
94,2,21,"Female",0,1,0,1,0,1,34
78,2,21,"Male",0,1,0,1,0,1,14
94,6,21,"Female",0,1,0,1,0,1,16
77,3,21,"Male",0,1,1,1,1,1,17
86,4,21,"Male",0,1,0,1,0,1,18
96,6,21,"Female",0,1,0,1,0,1,20
116,10,21,"Female",31,1,0,1,1,1,12
94,5,21,"Male",0,1,0,1,0,1,5
104,8,21,"Male",20,1,0,1,0,1,9
112,10,21,"Female",20,1,1,1,1,1,11
93,1,21,"Male",0,1,1,1,1,1,10
90,3,21,"Female",0,1,0,1,0,1,33
95,2,21,"Female",0,1,1,1,1,1,6
92,5,21,"Male",0,1,0,1,0,1,7
88,3,21,"Female",0,1,0,1,0,1,8
74,2,21,"Male",31,1,0,1,0,1,1
77,2,21,"Male",0,1,0,1,1,1,3
101,3,21,"Female",31,1,1,1,1,1,35
92,3,21,"Female",0,1,0,1,1,1,36
91,3,21,"Female",1,1,0,1,0,1,2
91,4,21,"Male",0,1,0,1,0,1,13
98,7,21,"Female",0,1,1,1,0,1,37
94,10,21,"Male",31,1,0,1,0,1,38
88,6,21,"Female",0,1,1,1,1,1,39
101,7,30,"Female",20,1,0,1,0,1,2
83,6,36,"Female",0,1,0,1,0,1,33
130,8,36,"Female",0,1,0,1,0,1,35
86,2,36,"Male",0,1,0,2,0,1,20
107,9,36,"Male",31,1,0,2,0,1,16
106,3,36,"Female",0,1,0,4,1,1,10
113,9,37,"Female",0,1,0,1,1,1,6
131,10,37,"Male",20,1,0,1,1,1,4
140,10,37,"Male",0,1,0,1,0,1,2
103,10,37,"Female",20,1,1,1,1,1,3
112,10,37,"Female",20,1,0,1,0,1,31
100,7,37,"Female",0,1,0,1,0,1,16
101,9,37,"Male",20,1,0,1,0,1,15
130,10,37,"Male",20,1,0,1,0,1,8
100,4,37,"Female",0,1,0,4,0,1,7
111,8,37,"Male",0,1,1,1,1,1,1
