"rater_id"	"joke_id"	"weekend"	"useful"	"Joke"	"Timing"
28	"1"	9	"We should do it again to learn more!"	2	2
28	"2"	9	"We should do it again to learn more!"	1	2
28	"3"	9	"We should do it again to learn more!"	3	2
28	"4"	9	"We should do it again to learn more!"	1	2
28	"5"	9	"We should do it again to learn more!"	3	3
28	"6"	9	"We should do it again to learn more!"	4	3
28	"7"	9	"We should do it again to learn more!"	2	2
28	"8"	9	"We should do it again to learn more!"	2	3
28	"9"	9	"We should do it again to learn more!"	3	3
28	"10"	9	"We should do it again to learn more!"	2	4
28	"11"	9	"We should do it again to learn more!"	2	1
28	"12"	9	"We should do it again to learn more!"	3	2
28	"13"	9	"We should do it again to learn more!"	1	1
28	"14"	9	"We should do it again to learn more!"	3	3
28	"15"	9	"We should do it again to learn more!"	2	1
28	"16"	9	"We should do it again to learn more!"	1	2
28	"17"	9	"We should do it again to learn more!"	1	2
28	"18"	9	"We should do it again to learn more!"	2	1
28	"19"	9	"We should do it again to learn more!"	2	1
28	"20"	9	"We should do it again to learn more!"	1	1
28	"21"	9	"We should do it again to learn more!"	2	1
28	"22"	9	"We should do it again to learn more!"	2	2
28	"23"	9	"We should do it again to learn more!"	4	2
28	"24"	9	"We should do it again to learn more!"	1	3
28	"25"	9	"We should do it again to learn more!"	3	3
28	"26"	9	"We should do it again to learn more!"	2	3
28	"27"	9	"We should do it again to learn more!"	1	1
28	"28"	9	"We should do it again to learn more!"	1	1
28	"29"	9	"We should do it again to learn more!"	1	1
28	"30"	9	"We should do it again to learn more!"	1	1
28	"31"	9	"We should do it again to learn more!"	NA	NA
28	"32"	9	"We should do it again to learn more!"	NA	NA
28	"33"	9	"We should do it again to learn more!"	2	3
28	"34"	9	"We should do it again to learn more!"	3	2
28	"35"	9	"We should do it again to learn more!"	1	1
28	"36"	9	"We should do it again to learn more!"	2	NA
28	"37"	9	"We should do it again to learn more!"	3	4
28	"38"	9	"We should do it again to learn more!"	3	2
28	"39"	9	"We should do it again to learn more!"	2	3
28	"40"	9	"We should do it again to learn more!"	1	1
28	"41"	9	"We should do it again to learn more!"	1	1
28	"42"	9	"We should do it again to learn more!"	1	3
28	"43"	9	"We should do it again to learn more!"	2	1
28	"44"	9	"We should do it again to learn more!"	3	3
28	"45"	9	"We should do it again to learn more!"	1	2
28	"46"	9	"We should do it again to learn more!"	1	2
28	"47"	9	"We should do it again to learn more!"	2	1
28	"48"	9	"We should do it again to learn more!"	3	3
28	"49"	9	"We should do it again to learn more!"	1	1
28	"50"	9	"We should do it again to learn more!"	1	1
28	"51"	9	"We should do it again to learn more!"	1	1
28	"52"	9	"We should do it again to learn more!"	1	1
28	"53"	9	"We should do it again to learn more!"	1	1
28	"54"	9	"We should do it again to learn more!"	1	3
28	"55"	9	"We should do it again to learn more!"	1	2
28	"56"	9	"We should do it again to learn more!"	1	1
28	"57"	9	"We should do it again to learn more!"	1	2
28	"58"	9	"We should do it again to learn more!"	1	3
28	"59"	9	"We should do it again to learn more!"	2	4
28	"60"	9	"We should do it again to learn more!"	2	1
28	"61"	9	"We should do it again to learn more!"	1	1
28	"62"	9	"We should do it again to learn more!"	1	1
28	"63"	9	"We should do it again to learn more!"	NA	NA
28	"64"	9	"We should do it again to learn more!"	NA	NA
19	"1"	7	"No, we might learn something here"	2	1
19	"2"	7	"No, we might learn something here"	1	2
19	"3"	7	"No, we might learn something here"	3	3
19	"4"	7	"No, we might learn something here"	2	2
19	"5"	7	"No, we might learn something here"	1	2
19	"6"	7	"No, we might learn something here"	1	2
19	"7"	7	"No, we might learn something here"	2	2
19	"8"	7	"No, we might learn something here"	2	3
19	"9"	7	"No, we might learn something here"	3	3
19	"10"	7	"No, we might learn something here"	2	4
19	"11"	7	"No, we might learn something here"	1	3
19	"12"	7	"No, we might learn something here"	3	3
19	"13"	7	"No, we might learn something here"	1	2
19	"14"	7	"No, we might learn something here"	2	3
19	"15"	7	"No, we might learn something here"	NA	NA
19	"16"	7	"No, we might learn something here"	NA	NA
19	"17"	7	"No, we might learn something here"	2	2
